trailing_per,trailing_eps,forward_per_consensus,forward_eps_consensus,current_pbr,current_bps,close,market_cap,business_overview,business_keywords,roe_estimate,source_url,source_id,quality_flag,as_of,ticker,company,sector,in_kospi200,py_end_per,py_end_eps,roe_2y,roe_1y,roe_current,pbr_band_low,pbr_band_high,update_note,pbr_5y_min,current_pbr_from_history
26.38,40099.0,23.0,45097.0,4.54,233039.65,1058000.0,545540.0,"기업개요 동사는 1977년 삼성정밀공업으로 설립되어 2015년 한화그룹에 편입, 2018년 한화에어로스페이스로 사명을 변경했음. 주요 종속회사로 한화시스템, 한화오션, 쎄트렉아이 등을 보유하며, 2024년 한화오션의 미국 필라델피아 조선소 지분 인수로 미주 시장 진출 교두보를 마련함. 항공기 가스터빈 엔진, 자주포·장갑차 등 군사장비, 선박 건조, IT서비스, 우주발사체 및 위성시스템 등 다양한 사업 포트폴리오를 구성하고 있음.",조선·해양;전력·에너지,0.1935,https://finance.naver.com/item/main.naver?code=012450,NAVER_PUBLIC,OK,2026-09-01,012450,한화에어로스페이스,,Y,,,,,,0.28814753197578186,3.889466878275865,Public Naver pull; history-dependent fields require BPS history input.,0.1794329849019255,4.539999952797732
7.29,18004.0,6.0,21895.0,0.79,166075.95,131200.0,512221.0,"기업개요 동사는 1944년 설립된 완성차 제조 기업임. 국내에 여러 공장을 보유하고 있으며, 미국, 슬로바키아, 멕시코, 인도, 중국에 생산거점을 두고 있음. 당기 중 PT Kia Sales Indonesia, Kia Sales Malaysia, Kia Mobility Solutions 등 3개 종속회사를 신설하여 글로벌 판매망을 확대함. 주요 제품은 승용, RV, 상용 차량 등으로 구성되어 있음.",자동차,0.1318,https://finance.naver.com/item/main.naver?code=000270,NAVER_PUBLIC,OK,2026-09-01,000270,기아,,Y,,,,,,0.4819481688950146,0.7142515216682488,Public Naver pull; history-dependent fields require BPS history input.,0.3570655474197197,0.7899999969893292
10.6,10486.0,9.0,12446.0,0.89,124831.46,111100.0,521559.0,"기업개요 동사는 2001년 금융지주회사법에 따라 설립된 대한민국 최초의 금융지주회사로, 신한은행, 신한카드 등 주요 자회사를 보유하고 있음. 은행업, 신용카드업, 증권업 등 종합금융서비스를 영위하며, 자산운용 등으로 사업 영역을 확장하고 있음. 2027 그룹 중기전략을 통해 AI·Digital Acceleration을 핵심 아젠다로 설정하고, 5대 전략사업을 추진하고 있음.",금융·보험,0.0997,https://finance.naver.com/item/main.naver?code=055550,NAVER_PUBLIC,OK,2026-09-01,055550,신한지주,,Y,,,,,,0.2911926208345236,0.555148517849587,Public Naver pull; history-dependent fields require BPS history input.,0.26035103650954655,0.8900000048064807
17.67,25631.0,15.0,30839.0,4.51,100443.46,453000.0,475474.0,"기업개요 동사는 2019년 HD한국조선해양에서 물적분할되어 설립된 조선·해양플랜트·엔진기계 전문 기업으로, 2021년 유가증권시장에 상장함. 2025년 HD현대미포를 흡수합병하여 생산능력을 확대하였으며, 종속회사로 HD현대엠엔에스, HD현대이엔티, HD현대엔진 등을 보유하고 있음. 조선사업에서는 일반상선, LNG선, 컨테이너선, 해군 함정 등을 건조하고, 해양플랜트사업에서는 원유 생산·저장설비, 해상풍력발전, SMR 사업에 참여하고 있음.",조선·해양;건설·인프라;금융·보험,0.307,https://finance.naver.com/item/main.naver?code=329180,NAVER_PUBLIC,OK,2026-09-01,329180,HD현대중공업,,Y,,,,,,1.1202322182051474,4.744958009212346,Public Naver pull; history-dependent fields require BPS history input.,0.9109602556502931,4.50999995420309
287.63,283.0,163.0,499.0,6.38,12758.62,81400.0,521416.0,"기업개요 동사는 1962년 현대양행으로 설립되고, 2001년 두산그룹 인수 후 2022년 두산에너빌리티로 사명을 변경함. 주조, 단조 기반 소재 생산부터 원자력 및 복합화력 발전설비 설계, 제작 및 발전플랜트 EPC 사업을 영위함. 두산밥캣은 건설기계를, 두산퓨얼셀은 발전용 연료전지 사업을 하며, 대형 가스터빈 상업운전 성공 후 국내외 수주를 확대하고, 해상풍력 및 수소 등 친환경에너지 사업을 확대하고 있음.",화학·소재;전력·에너지;건설·인프라,0.0391,https://finance.naver.com/item/main.naver?code=034020,NAVER_PUBLIC,OK,2026-09-01,034020,두산에너빌리티,,Y,,,,,,1.2932433131482872,5.0898921670211985,Public Naver pull; history-dependent fields require BPS history input.,1.026756812257125,6.380000344864883
11.12,39873.0,10.0,45734.0,0.76,583552.63,443500.0,398354.0,"기업개요 동사는 1977년 설립된 현대자동차그룹의 자동차부품 전문기업으로, 국내외 생산거점과 연구소를 운영하며 45개의 종속회사를 보유하고 있음. 샤시모듈, 칵핏모듈, FEM을 조립·생산하여 현대차·기아 등에 공급하고 제동·조향·전장 부품을 글로벌 완성차 업체에 제공하고 있음. 자율주행·전동화 흐름에 맞춰 R&D와 투자를 지속하며, 로보틱스 사업을 차세대 성장 영역으로 육성하고 있음.",자동차;전장부품,0.0784,https://finance.naver.com/item/main.naver?code=012330,NAVER_PUBLIC,OK,2026-09-01,012330,현대모비스,,Y,,,,,,0.3718602039373895,0.510665164854111,Public Naver pull; history-dependent fields require BPS history input.,0.32730552512461475,0.7600000020563698
28.62,6568.0,28.0,6725.0,2.4,78333.33,188000.0,437320.0,"기업개요 동사는 1991년 설립된 글로벌 생명공학 기업으로, 2023년 셀트리온헬스케어와의 합병을 통해 통합 법인 체제를 완성하였음. 자가면역질환, 종양 치료 의약품을 개발하며, 세계 최초 항체 바이오시밀러 램시마를 시작으로 11개 바이오시밀러 제품의 글로벌 품목허가를 획득해 판매 중임. 자체 R&D와 글로벌 바이오텍 파트너십을 통해 차세대 모달리티 연구개발을 지속하며, 미국 생산 거점 확보와 직접 판매망 구축으로 경쟁력을 강화하고 있음.",바이오·제약,0.0859,https://finance.naver.com/item/main.naver?code=068270,NAVER_PUBLIC,OK,2026-09-01,068270,셀트리온,,Y,,,,,,1.818799226331882,2.2370375420015978,Public Naver pull; history-dependent fields require BPS history input.,1.533574533343597,2.400000102127664
5.32,110113.0,4.0,154917.0,0.87,673563.22,586000.0,424865.0,"기업개요 동사는 1991년 설립되어 SK그룹의 지주회사로 있으며, SK이노베이션, SK텔레콤 등 다양한 계열사 및 종속회사를 보유함. 사업구조는 투자부문과 사업부문으로 구성되며, 투자 포트폴리오 혁신과 미래 성장동력 발굴에 집중하고 있음. 에너지, 화학, 정보통신, 바이오 등 분야에 투자를 확대하며, 첨단기술 및 친환경 사업, AI 적용 등을 통한 산업 경쟁력을 강화하고 있음.",전력·에너지;화학·소재;바이오·제약,0.23,https://finance.naver.com/item/main.naver?code=034730,NAVER_PUBLIC,OK,2026-09-01,034730,SK,,Y,,,,,,0.2218054602209426,0.3787320810064422,Public Naver pull; history-dependent fields require BPS history input.,0.17904778114220668,0.8699999979215017
1242.36,458.0,67.0,8539.0,1.84,309239.13,569000.0,458531.0,"기업개요 동사는 1970년 설립되어 1979년 상장하였고, 본사를 중심으로 헝가리, 미국 등 22개 종속기업을 운영하고 있음. 리튬이온 2차전지를 생산·판매하는 에너지솔루션 부문(매출비중 93%)과 반도체·디스플레이 소재를 생산·판매하는 전자재료 부문(매출비중 7%)을 담당하고 있음. 고안전성·고용량 기술 확보로 응용 분야 확대 및 각형전지 수요 증가에 대응해 기술력 강화하고 있음.",배터리;전력·에너지;반도체,0.0276,https://finance.naver.com/item/main.naver?code=006400,NAVER_PUBLIC,OK,2026-09-01,006400,삼성SDI,,Y,,,,,,0.8977751295575046,2.0935895143670855,Public Naver pull; history-dependent fields require BPS history input.,0.518045694928711,1.8400000025869947
9.47,14513.0,9.0,16125.0,0.82,167560.98,137400.0,376981.0,"기업개요 동사는 2005년 금융지주회사법에 근거하여 설립된 금융지주회사로, 1971년 한국투자금융에서 출발하여 1991년 하나은행으로 전환 후 종합금융그룹으로 성장함. 하나은행, 하나증권, 하나카드 등 14개 자회사와 34개 손자회사, 전세계 27개 지역 197개 글로벌 네트워크를 보유하고 있음. 은행업 중심으로 금융투자업, 신용카드업, 할부금융, 생명보험업, 손해보험업, 자산신탁 및 운용업 등 다각화된 금융사업을 영위하고 있음.",금융·보험,0.0962,https://finance.naver.com/item/main.naver?code=086790,NAVER_PUBLIC,OK,2026-09-01,086790,하나금융지주,,Y,,,,,,0.24916302112818867,0.5159912528561245,Public Naver pull; history-dependent fields require BPS history input.,0.20201600635183678,0.8199999785152844
