position,ticker,company,sector,in_kospi200,source_as_of,source_url
55,030200,KT,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
56,011070,LG이노텍,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
57,047810,한국항공우주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
58,307950,현대오토에버,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
59,000720,현대건설,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
60,005830,DB손해보험,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
61,078930,GS,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
62,003230,삼양식품,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
63,071050,한국금융지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
64,259960,크래프톤,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
65,323410,카카오뱅크,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
66,005940,NH투자증권,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
67,003490,대한항공,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
68,006260,LS,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
69,047050,포스코인터내셔널,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
70,443060,HD현대마린솔루션,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
71,028050,삼성E&A,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
72,016360,삼성증권,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
73,161390,한국타이어앤테크놀로지,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
74,090430,아모레퍼시픽,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
75,180640,한진칼,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
76,007660,이수페타시스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
77,352820,하이브,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
78,009830,한화솔루션,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
79,039490,키움증권,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
80,064400,LG씨엔에스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
81,021240,코웨이,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
82,000100,유한양행,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
83,326030,SK바이오팜,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
84,047040,대우건설,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
85,032640,LG유플러스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
86,000880,한화,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
87,377300,카카오페이,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
88,241560,두산밥캣,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
89,267270,HD건설기계,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
90,029780,삼성카드,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
91,128940,한미약품,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
92,001440,대한전선,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
93,062040,산일전기,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
94,175330,JB금융지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
95,271560,오리온,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
96,010060,OCI홀딩스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
97,036570,NC,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
98,088350,한화생명,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
99,034220,LG디스플레이,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
100,051900,LG생활건강,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
101,454910,두산로보틱스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
102,138930,BNK금융지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
103,066970,엘앤에프,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
104,001450,현대해상,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
105,002380,KCC,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
106,011790,SKC,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
107,000990,DB하이텍,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
108,004170,신세계,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
109,082740,한화엔진,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
110,004020,현대제철,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
111,001040,CJ,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
112,052690,한전기술,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
113,018880,한온시스템,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
114,111770,영원무역,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
115,036460,한국가스공사,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
116,161890,한국콜마,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
117,028670,팬오션,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
118,251270,넷마블,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
119,192820,코스맥스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
120,008930,한미사이언스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
121,035250,강원랜드,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
122,022100,포스코DX,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
123,009420,한올바이오파마,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
124,011780,금호석유화학,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
125,012750,에스원,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
126,302440,SK바이오사이언스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
127,017800,현대엘리베이터,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
128,097950,CJ제일제당,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
129,023530,롯데쇼핑,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
